CIS;CIS_Denomination;CIS_Forme_pharmaceutique;CIS_Voies_administration;CIS_Statut_AMM;CIS_Type_procedure_AMM;CIS_Etat_commercialisation;CIS_Date_AMM;CIS_StatutBdm;CIS_Numero_AMM_europeenne;CIS_Titulaires;CIS_Surveillance_renforcee;CIP_CIS;CIP_CIP7;CIP_Libelle_presentation;CIP_Statut_presentation;CIP_Etat_commercialisation;CIP_Date_declaration_commercialisation;CIP_CIP13;CIP_Agrement_collectivites;CIP_Taux_remboursement;CIP_Prix_medicament_euro;CIP_Prix_public_France_euro;CIP_Honoraires_dispensation_euro;CIP_Indications_remboursement;compo_dosage_texte
60222137;CALTRATE 600 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;27/07/1988;;;HALEON FRANCE;Non;60222137;3312734;1 flacon de 60 comprimés;Présentation active;Déclaration de commercialisation;19/09/1991;3400933127343;oui;65%;5,29;6,31;1,02;;CALCIUM (CARBONATE DE) : 1498 mg pour un comprimé
60223278;TALOXA 600 mg, comprimé;comprimé;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;16/05/1994;;;ORGANON FRANCE;Non;60223278;5592459;plaquette de 60 comprimés;Présentation active;Déclaration de commercialisation;19/07/1996;3400955924593;oui;;;;;;FELBAMATE : 600 mg pour un comprimé
60223417;VOTUBIA 5 mg, comprimé;comprimé;orale;Autorisation active;Procédure centralisée;Commercialisée;02/09/2011;;EU/1/11/710;NOVARTIS EUROPHARM (IRLANDE);Non;60223417;2194764;3 plaquette de 10 comprimés;Présentation active;Déclaration de commercialisation;25/09/2012;3400921947649;oui;100%;1,507,88;1,508,90;1,02;;ÉVÉROLIMUS : 5 mg pour un comprimé
60224316;MEDROL 100 mg, comprimé;comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;14/11/1996;;;PFIZER HOLDING FRANCE;Non;60224316;3723242;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;31/07/2006;3400937232425;oui;65%;34,85;35,87;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans le cas suivant :<br><br>- Affections néoplasiques ; JOURNAL OFFICIEL ; 14/06/06";MÉTHYLPREDNISOLONE : 100,00 mg pour un comprimé
60224800;NIMBEX 5 mg/ml, solution injectable/pour perfusion;solution injectable ou pour perfusion;intraveineuse;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;30/04/1996;;;ASPEN PHARMA TRADING (IRLANDE);Non;60224800;5595392;1 flacon de 30 ml;Présentation active;Déclaration de commercialisation;19/04/1997;3400955953920;oui;;;;;;BÉSILATE DE CISATRACURIUM : 6,70 mg pour 1 ml
60225681;TRAMADOL ARROW L.P. 200 mg, gélule à libération prolongée;gélule à libération prolongée;orale;Autorisation active;Procédure nationale;Commercialisée;10/03/2009;;;ARROW GENERIQUES;Non;60225681;3918589;plaquette de 30 gélules;Présentation active;Déclaration de commercialisation;02/10/2012;3400939185897;oui;65%;8,88;9,90;1,02;;CHLORHYDRATE DE TRAMADOL : 200,00 mg pour une gélule
60226897;MINOXIDIL COOPER 2 %, solution pour application cutanée en flacon;solution pour application;cutanée;Autorisation active;Procédure nationale;Commercialisée;14/12/1987;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);Non;60226897;3024331;3 flacon de 60 ml avec pompe sertie polyéthylène avec embouts poussoir polypropylène;Présentation active;Déclaration de commercialisation;04/04/2022;3400930243312;non;;;;;;MINOXIDIL : 2,0 g pour 100 ml de solution pour application cutanée
60226897;MINOXIDIL COOPER 2 %, solution pour application cutanée en flacon;solution pour application;cutanée;Autorisation active;Procédure nationale;Commercialisée;14/12/1987;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);Non;60226897;3359500;3 flacon de sécurité enfant de 60 ml ( abrogée le 06/12/2021);Présentation abrogée;Déclaration d'arrêt de commercialisation;06/04/2022;3400933595005;non;;;;;;MINOXIDIL : 2,0 g pour 100 ml de solution pour application cutanée
60226915;CARBOCISTEINE SANDOZ CONSEIL 5 % ADULTES SANS SUCRE, solution buvable édulcorée à la saccharine sodique;solution buvable;orale;Autorisation abrogée;Procédure nationale;Non commercialisée;18/01/2002;Warning disponibilité;;SANDOZ;Non;60226915;3771198;1 flacon de 200 ml avec gobelets doseurs polypropylène;Présentation active;Déclaration d'arrêt de commercialisation;28/09/2021;3400937711982;non;;;;;;CARBOCISTÉINE : 5 g pour 100 ml de solution buvable
60226979;OLANZAPINE ACCORD 5 mg, comprimé enrobé;comprimé enrobé;orale;Autorisation active;Procédure nationale;Commercialisée;28/12/2012;;;ACCORD HEALTHCARE FRANCE;Non;60226979;2682713;plaquette de 28 comprimés;Présentation active;Déclaration de commercialisation;18/11/2013;3400926827137;oui;65%;17,42;18,44;1,02;;OLANZAPINE : 5 mg pour un comprimé
60227159;PYZCHIVA 90 mg, solution injectable en stylo prérempli;solution injectable;sous-cutanée;Autorisation active;Procédure centralisée;Commercialisée;19/04/2024;;EU/1/24/180;SAMSUNG BIOEPIS NL (PAYS-BAS);Oui;60227159;3031546;1 stylo prérempli en verre de 1 ml avec protège-aiguille;Présentation active;Déclaration de commercialisation;09/09/2025;3400930315460;oui;65%;1,128,53;1,129,55;1,02;;USTÉKINUMAB : 90 mg pour un stylo prérempli de 1,0 mL
60227166;OZAWADE 18 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;22/07/2021;;EU/1/21/1546;BIOPROJET;Non;60227166;3023242;1 flacon de sécurité enfant de 30 comprimés;Présentation active;Déclaration de commercialisation;24/06/2022;3400930232422;oui;65 %;235,45;236,47;1,02;;CHLORHYDRATE DE PITOLISANT
60230550;TAMOXIFENE BIOGARAN 20 mg, comprimé;comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;20/03/1998;;;BIOGARAN;Non;60230550;3463947;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;20/10/1998;3400934639470;oui;100%;6,47;7,49;1,02;;CITRATE DE TAMOXIFÈNE : 30,40 mg pour un comprimé
60232074;MAGNESIE SAN PELLEGRINO SANS ANIS 90 %, poudre pour suspension buvable;poudre pour suspension buvable;orale;Autorisation active;Procédure nationale;Commercialisée;16/12/1997;;;DÔMES PHARMA;Non;60232074;3139193;1 flacon de 90 g;Présentation active;Déclaration de commercialisation;19/04/1973;3400931391937;non;;;;;;HYDROXYDE DE MAGNÉSIUM : 90 g pour 100 g de poudre pour suspension buvable
60232334;CYANOKIT 5 g, poudre pour solution pour perfusion;poudre pour solution pour perfusion;intraveineuse;Autorisation active;Procédure centralisée;Commercialisée;07/10/2010;;EU/1/07/420;SERB (BELGIQUE);Non;60232334;4991223;1 flacon de transfert avec set de perfusion avec cathéters;Présentation active;Déclaration de commercialisation;27/07/2015;3400949912230;oui;;;;;;HYDROXOCOBALAMINE : 5 g pour un flacon
60232359;VALSARTAN KRKA 40 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;23/02/2010;;;KRKA (SLOVENIE);Non;60232359;2244870;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;24/01/2020;3400922448701;oui;65%;3,64;4,66;1,02;;VALSARTAN : 40 mg pour un comprimé
60232359;VALSARTAN KRKA 40 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;23/02/2010;;;KRKA (SLOVENIE);Non;60232359;2244887;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;24/01/2020;3400922448879;oui;65%;10,53;13,29;2,76;;VALSARTAN : 40 mg pour un comprimé
60233913;IBUFETUM 5 %, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;06/07/2000;;;MENARINI FRANCE;Non;60233913;3552898;1 tube de 60 g;Présentation active;Déclaration de commercialisation;20/01/2014;3400935528988;oui;30%;1,98;3,00;1,02;;IBUPROFÈNE : 5 g pour 100 g
60233945;EZETIMIBE/ATORVASTATINE TEVA 10 mg/20 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;15/01/2024;;;TEVA (PAYS-BAS);Non;60233945;3028632;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;13/09/2024;3400930286326;oui;65 %;10,43;11,45;1,02;;"ÉZÉTIMIBE : 10 mg pour un comprimé ; ATORVASTATINE CALCIQUE TRIHYDRATÉE"
60233945;EZETIMIBE/ATORVASTATINE TEVA 10 mg/20 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;15/01/2024;;;TEVA (PAYS-BAS);Non;60233945;3028635;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;13/09/2024;3400930286357;oui;65%;30,75;33,51;2,76;;"ÉZÉTIMIBE : 10 mg pour un comprimé ; ATORVASTATINE CALCIQUE TRIHYDRATÉE"
60234100;DOLIPRANE 1000 mg, comprimé;comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;09/07/2002;;;OPELLA HEALTHCARE FRANCE;Non;60234100;3595583;plaquette de 8 comprimés;Présentation active;Déclaration de commercialisation;02/01/2003;3400935955838;oui;65%;1,16;2,18;1,02;;PARACÉTAMOL : 1000 mg pour un comprimé
60234100;DOLIPRANE 1000 mg, comprimé;comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;09/07/2002;;;OPELLA HEALTHCARE FRANCE;Non;60234100;5636955;plaquette de 100 comprimés;Présentation active;Déclaration de commercialisation;17/03/2003;3400956369553;oui;;;;;;PARACÉTAMOL : 1000 mg pour un comprimé
60234214;VENLAFAXINE EVOLUGEN PHARMA LP 37,5 mg, gélule à libération prolongée;gélule à libération prolongée;orale;Autorisation active;Procédure nationale;Commercialisée;11/09/2008;;;EVOLUPHARM;Non;60234214;3882704;plaquette de 30 gélules;Présentation active;Déclaration de commercialisation;19/06/2018;3400938827040;oui;65%;4,53;5,55;1,02;;CHLORHYDRATE DE VENLAFAXINE
60235330;CEFTRIAXONE VIATRIS 500 mg/5 ml, poudre et solvant pour solution injectable (IV);poudre et  solvant pour solution injectable;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;19/10/2000;;;VIATRIS SANTE;Non;60235330;3556755;1 flacon de 500 mg - 1 ampoule en verre de 5 ml;Présentation active;Déclaration de commercialisation;09/07/2001;3400935567550;oui;65%;3,48;4,50;1,02;;CEFTRIAXONE SODIQUE : 596,50 mg pour un flacon de poudre
60235768;PREZISTA 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;29/01/2009;;EU/1/06/380;JANSSEN CILAG INTERNATIONAL NV;Non;60235768;3931383;1 flacon de sécurité enfant de 60 comprimés;Présentation active;Déclaration de commercialisation;01/09/2009;3400939313832;oui;100%;289,14;290,16;1,02;;ÉTHANOLATE DE DARUNAVIR : 433,64 mg pour un comprimé
60236546;COVERAM 10 mg/5 mg, comprimé;comprimé;orale;Autorisation active;Autorisation d'importation parallèle;Commercialisée;24/08/2020;;;DIFARMED (ESPAGNE);Non;60236546;4900405;1 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;08/09/2021;3400949004058;oui;65 %;8,67;9,69;1,02;;"PÉRINDOPRIL ARGININE : 10 mg pour un comprimé ; BÉSILATE D'AMLODIPINE : 6,935 mg pour un comprimé"
60236546;COVERAM 10 mg/5 mg, comprimé;comprimé;orale;Autorisation active;Autorisation d'importation parallèle;Commercialisée;24/08/2020;;;DIFARMED (ESPAGNE);Non;60236546;4900406;1 pilulier(s) polypropylène de 90 comprimé(s);Présentation active;Déclaration de commercialisation;08/09/2021;3400949004065;oui;65 %;24,59;27,35;2,76;;"PÉRINDOPRIL ARGININE : 10 mg pour un comprimé ; BÉSILATE D'AMLODIPINE : 6,935 mg pour un comprimé"
60237858;EPHEDRINE RENAUDIN 30 mg/10 ml, solution injectable;solution injectable;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;04/07/2007;;;LABORATOIRE RENAUDIN;Non;60237858;5710137;10 ampoule de 10 ml;Présentation active;Déclaration de commercialisation;01/10/2007;3400957101374;oui;;;;;;CHLORHYDRATE D'ÉPHÉDRINE : 30,0 mg pour 10 ml de solution injectable
60238376;SOLACY PEDIATRIQUE, comprimé pour suspension buvable;comprimé pour suspension buvable;orale;Autorisation active;Procédure nationale;Commercialisée;08/09/1988;;;GRIMBERG;Non;60238376;3337154;plaquette de 60 comprimés;Présentation active;Déclaration de commercialisation;19/09/1991;3400933371548;non;;;;;;"SOUFRE PRÉCIPITÉ : 11,00 mg pour un comprimé ; LEVURE : 38,70 mg pour un comprimé ; CYSTINE : 36,30 mg pour un comprimé ; VITAMINE A (ACÉTATE DE)"
60238853;PANTOPRAZOLE CRISTERS 40 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);orale;Autorisation active;Procédure nationale;Non commercialisée;28/11/2008;Warning disponibilité;;CRISTERS;Non;60238853;3908059;plaquette de 14 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;28/02/2023;3400939080598;non;65%;1,85;2,87;1,02;;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ : 45,15 mg pour un comprimé
60238853;PANTOPRAZOLE CRISTERS 40 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);orale;Autorisation active;Procédure nationale;Non commercialisée;28/11/2008;Warning disponibilité;;CRISTERS;Non;60238853;3908071;plaquette de 28 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;19/05/2023;3400939080710;non;65%;3,37;4,39;1,02;;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ : 45,15 mg pour un comprimé
60239706;PHYSIOGINE 0,5 mg, ovule;ovule;vaginale;Autorisation active;Procédure nationale;Commercialisée;09/06/1987;;;ASPEN PHARMA TRADING (IRLANDE);Non;60239706;3296900;plaquette de 15 ovules;Présentation active;Déclaration de commercialisation;19/04/1992;3400932969005;oui;15%;3,01;4,03;1,02;;ESTRIOL : 0,5 mg pour un ovule de 2,5 g
60239802;DESOGESTREL/ETHINYLESTRADIOL EG 150 microgrammes/20 microgrammes, comprimé;comprimé;orale;Autorisation active;Procédure nationale;Commercialisée;22/12/2014;;;EG LABO - LABORATOIRES EUROGENERICS;Non;60239802;3000542;3 plaquette de 21 comprimés;Présentation active;Déclaration de commercialisation;06/08/2015;3400930005422;non;;;;;;"ÉTHINYLESTRADIOL : 20 microgrammes pour un comprimé ; DÉSOGESTREL : 150 microgrammes pour un comprimé"
60240181;UVIMAG B6, solution buvable;solution buvable;orale;Autorisation active;Procédure nationale;Commercialisée;16/12/1997;;;G2D PHARMA;Non;60240181;3289679;20 ampoule de 10 ml;Présentation active;Déclaration de commercialisation;01/06/1998;3400932896790;non;;;;;;"CHLORHYDRATE DE PYRIDOXINE : 0,040 g pour une ampoule de 10 ml ; GLYCÉROPHOSPHATE ACIDE DE MAGNÉSIUM : 1,895 g pour une ampoule de 10 ml"
60241034;TALTZ 80 mg, solution injectable en seringue préremplie;solution injectable;sous-cutanée;Autorisation active;Procédure centralisée;Commercialisée;25/04/2016;;EU/1/15/1085;ELI LILLY AND COMPANY (IRELAND);Non;60241034;3006079;1 seringue préremplie de 1 ml;Présentation active;Déclaration de commercialisation;30/11/2016;3400930060797;oui;65%;877,34;878,36;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Psoriasis en plaques sévère de l'adulte (c'est à dire pour lequel certains traitements ont déjà été tentés sans succès, et qui est tellement étendu qu'il perturbe la vie quotidienne du malade)<br>- Rhumatisme psoriasique actif (quand certains autres traitements n'ont pas marché ou ne peuvent pas être utilisés)<br>- Spondyloarthrite axiale : UNIQUEMENT POUR LES BOITES DE 1 UNITE ; JOURNAL OFFICIEL ; 05/02/21";IXÉKIZUMAB : 80 mg pour une seringue pré-remplie
60241874;INNOVAIR 200/6 microgrammes par dose, solution pour inhalation en flacon pressurisé;solution pour inhalation;inhalée;Autorisation active;Procédure décentralisée;Commercialisée;24/11/2015;;;CHIESI;Non;60241874;3004003;1 flacon de 120 doses avec valves doseuses avec inhalateurs polypropylène;Présentation active;Déclaration de commercialisation;03/10/2016;3400930040034;oui;65%;25,78;26,80;1,02;;"DIPROPIONATE DE BÉCLOMÉTASONE : 200 microgrammes pour une dose délivrée ; FUMARATE DE FORMOTÉROL DIHYDRATÉ : 6 microgrammes pour une dose délivrée"
60242321;DYSPORT 500 UNITES SPEYWOOD, poudre pour solution injectable;poudre pour solution injectable;"intramusculaire;sous-cutanée";Autorisation active;Procédure nationale;Commercialisée;11/10/1993;;;IPSEN PHARMA;Non;60242321;5581059;1 flacon(s) en verre;Présentation active;Déclaration de commercialisation;19/12/1994;3400955810599;oui;;;;;;TOXINE BOTULINIQUE TYPE A : 500 U Speywood pour un flacon
60243544;PENICILLINE G PANPHARMA 1 000 000 UI, poudre pour usage parentéral;poudre pour usage parentéral;"intramusculaire;intraveineuse";Autorisation active;Procédure nationale;Commercialisée;04/06/1996;;;PANPHARMA;Non;60243544;3023465;10 flacon de 1000000 UI;Présentation active;Déclaration de commercialisation;02/01/2023;3400930234655;oui;;;;;;BENZYLPÉNICILLINE SODIQUE : 1000000 UI pour un flacon
60243544;PENICILLINE G PANPHARMA 1 000 000 UI, poudre pour usage parentéral;poudre pour usage parentéral;"intramusculaire;intraveineuse";Autorisation active;Procédure nationale;Commercialisée;04/06/1996;;;PANPHARMA;Non;60243544;3658208;25 flacon de 1000000 UI;Présentation active;Déclaration de commercialisation;30/09/2000;3400936582088;oui;65%;23,70;24,72;1,02;;BENZYLPÉNICILLINE SODIQUE : 1000000 UI pour un flacon
60244525;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2, solution pour dialyse péritonéale;solution pour dialyse péritonéale;intrapéritonéale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;04/10/2002;;;FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);Non;60244525;3599782;4 poche de 2000 mL avec système de tubulure polyoléfine avec système de connexion (DISC) polypropylène avec poche de drainage polyoléfine. Système Stay Safe;Présentation active;Déclaration de commercialisation;14/04/2003;3400935997821;oui;;;;;;"CHLORURE DE CALCIUM DIHYDRATÉ : 0,2573 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE SODIUM : 5,64 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ : 0,1017 g pour 1000 ml de solution prête à l'emploi ; GLUCOSE MONOHYDRATÉ : 16,5 g pour 1000 ml de solution prête à l'emploi ; SOLUTION DE (S)-LACTATE DE SODIUM : 7,85 g pour 1000 ml de solution prête à l'emploi"
60244525;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2, solution pour dialyse péritonéale;solution pour dialyse péritonéale;intrapéritonéale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;04/10/2002;;;FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);Non;60244525;3599799;4 poche de 2500 mL avec système de tubulure polyoléfine avec système de connexion (DISC) polypropylène avec poche de drainage polyoléfine. Système Stay Safe;Présentation active;Déclaration de commercialisation;24/09/2003;3400935997999;oui;;;;;;"CHLORURE DE CALCIUM DIHYDRATÉ : 0,2573 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE SODIUM : 5,64 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ : 0,1017 g pour 1000 ml de solution prête à l'emploi ; GLUCOSE MONOHYDRATÉ : 16,5 g pour 1000 ml de solution prête à l'emploi ; SOLUTION DE (S)-LACTATE DE SODIUM : 7,85 g pour 1000 ml de solution prête à l'emploi"
60244525;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2, solution pour dialyse péritonéale;solution pour dialyse péritonéale;intrapéritonéale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;04/10/2002;;;FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);Non;60244525;3599813;4 poche de 3000 mL avec syteme de tubulures polyoléfine avec connecteur polypropylène. Système Sleep Safe;Présentation active;Déclaration d'arrêt de commercialisation;31/08/2022;3400935998132;non;;;;;;"CHLORURE DE CALCIUM DIHYDRATÉ : 0,2573 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE SODIUM : 5,64 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ : 0,1017 g pour 1000 ml de solution prête à l'emploi ; GLUCOSE MONOHYDRATÉ : 16,5 g pour 1000 ml de solution prête à l'emploi ; SOLUTION DE (S)-LACTATE DE SODIUM : 7,85 g pour 1000 ml de solution prête à l'emploi"
60244525;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2, solution pour dialyse péritonéale;solution pour dialyse péritonéale;intrapéritonéale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;04/10/2002;;;FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);Non;60244525;3857273;2 poche de 5000 mL avec syteme de tubulures polyoléfine avec connecteur polypropylène. Système Sleep Safe;Présentation active;Déclaration de commercialisation;15/05/2009;3400938572735;oui;;;;;;"CHLORURE DE CALCIUM DIHYDRATÉ : 0,2573 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE SODIUM : 5,64 g pour 1000 ml de solution prête à l'emploi ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ : 0,1017 g pour 1000 ml de solution prête à l'emploi ; GLUCOSE MONOHYDRATÉ : 16,5 g pour 1000 ml de solution prête à l'emploi ; SOLUTION DE (S)-LACTATE DE SODIUM : 7,85 g pour 1000 ml de solution prête à l'emploi"
60244913;ATENOLOL EVOLUGEN PHARMA 50 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;16/02/2024;;;EVOLUPHARM;Non;60244913;3029044;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;12/11/2025;3400930290446;oui;65 %;2,28;3,30;1,02;;ATÉNOLOL : 50 mg pour un comprimé
60244913;ATENOLOL EVOLUGEN PHARMA 50 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;16/02/2024;;;EVOLUPHARM;Non;60244913;3029045;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;12/11/2025;3400930290453;oui;65 %;5,86;8,62;2,76;;ATÉNOLOL : 50 mg pour un comprimé
60245253;REVLIMID 10 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;14/06/2007;;EU/1/07/391;BRISTOL-MYERS SQUIBB PHARMA (IRLANDE);Non;60245253;3010825;plaquette de 7 gélules;Présentation active;Déclaration de commercialisation;29/07/2020;3400930108253;oui;;;;;;LÉNALIDOMIDE : 10 mg pour une gélule
60245253;REVLIMID 10 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;14/06/2007;;EU/1/07/391;BRISTOL-MYERS SQUIBB PHARMA (IRLANDE);Non;60245253;3810231;plaquette de 21 gélules;Présentation active;Déclaration d'arrêt de commercialisation;30/06/2025;3400938102314;non;;;;;;LÉNALIDOMIDE : 10 mg pour une gélule
60246298;BIKTARVY 30 mg/120 mg/15 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;21/11/2022;;EU/1/18/1289;GILEAD SCIENCES IRELAND UC (IRLANDE);Non;60246298;3026251;1 flacon de sécurité enfant de 30 comprimés;Présentation active;Déclaration de commercialisation;22/03/2024;3400930262511;oui;100 %;625,57;626,59;1,02;;"EMTRICITABINE : 120 mg pour un comprimé ; FUMARATE DE TÉNOFOVIR ALAFÉNAMIDE ; BICTÉGRAVIR SODIQUE"
60246750;DEBRIDAT 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;10/01/1989;;;PFIZER HOLDING FRANCE;Non;60246750;3390467;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;19/09/1996;3400933904678;oui;15%;3,50;4,52;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Douleurs liées à des troubles fonctionnels digestifs<br>- Douleurs, troubles du transit et inconfort intestinal liés à des troubles fonctionnels intestinaux. ; JOURNAL OFFICIEL ; 02/10/15";MALÉATE DE TRIMÉBUTINE : 100,00 mg pour un comprimé
60247432;ESCITALOPRAM ZYDUS 20 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;12/02/2014;;;ZYDUS FRANCE;Non;60247432;2774987;plaquette de 28 comprimés;Présentation active;Déclaration de commercialisation;15/07/2015;3400927749872;oui;65%;3,85;4,87;1,02;;OXALATE D'ESCITALOPRAM
60247507;EMTRICITABINE/TENOFOVIR DISOPROXIL ARROW 200 mg/245 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;13/01/2020;;;ARROW GENERIQUES;Non;60247507;3019866;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;27/01/2022;3400930198667;oui;100 %;155,42;156,44;1,02;;"EMTRICITABINE : 200 mg pour un comprimé ; FUMARATE DE TÉNOFOVIR DISOPROXIL : 300 mg pour un comprimé"
60248000;LEPTAX 750 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Non commercialisée;13/04/2018;Warning disponibilité;;HAC PHARMA;Non;60248000;2798539;plaquette de 60 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;28/07/2023;3400927985393;non;65 %;20,75;21,77;1,02;;LÉVÉTIRACÉTAM : 750 mg pour un comprimé
60248840;TAFINLAR 75 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;26/08/2013;;EU/1/13/865;NOVARTIS EUROPHARM (IRLANDE);Non;60248840;2754973;flacon de 120 gélules;Présentation active;Déclaration de commercialisation;07/10/2013;3400927549731;oui;100%;4,440,68;4,441,70;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- mélanome (qui est un cancer de la peau).<br>- cancer du poumon, après qu'un premier traitement avec un autre médicament ait échoué. ; JOURNAL OFFICIEL ; 17/07/17";MÉSILATE DE DABRAFÉNIB : 88,88 mg pour une gélule
60249796;TREVICTA 350 mg, suspension injectable à libération prolongée;suspension injectable à libération prolongée;intramusculaire;Autorisation active;Procédure centralisée;Commercialisée;26/05/2016;;EU/1/14/971;JANSSEN CILAG INTERNATIONAL NV;Non;60249796;3005983;1 seringue préremplie en copolymère de cyclooléfines de 1,750 ml  (200 mg/ml) avec 2 aiguilles;Présentation active;Déclaration de commercialisation;01/02/2017;3400930059838;oui;65%;423,90;424,92;1,02;;PALMITATE DE PALIPÉRIDONE : 546 mg pour une seringue préremplie
60249903;SPRYCEL 70 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure centralisée;Commercialisée;20/11/2006;;EU/1/06/363;BRISTOL-MYERS SQUIBB PHARMA (IRLANDE);Non;60249903;3776445;60 plaquette de 1 comprimé;Présentation active;Déclaration de commercialisation;28/11/2006;3400937764452;oui;100%;1,779,40;1,780,42;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Leucémie myéloïde chronique (cancer touchant certaines cellules du sang), chez l'adulte et l'enfant, dans certains cas précisément définis uniquement.<br>- Leucémie aiguë lymphoblastique  (cancer touchant certaines cellules du sang), chez l'adulte et l'enfant, dans certains cas précisément définis uniquement. ; JOURNAL OFFICIEL ; 01/11/07";DASATINIB MONOHYDRATÉ
