Libellé;CIP13
DOXYLAMINE CRISTERS 15 mg, comprimé pelliculé sécable, HYDROGÉNOSUCCINATE DE DOXYLAMINE : 15 mg pour un comprimé, comprimé pelliculé sécable, 1 tube de 10 comprimés;3400930076514
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 1 tube de 120 g;3400930020777
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 1 tube de 45 g;3400930142516
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 1 tube de 45 g;3400930199848
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 1 tube de 120 g;3400930199855
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 12 sachet de 2 g;3400930257692
ARNIGEL, gel, ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel, gel, 1 tube de 45 g;3400935650276
LENALIDOMIDE ARROW 2,5 mg, gélule, LÉNALIDOMIDE : 2,5 mg pour une gélule, gélule, plaquette de 7 gélules;3400930238530
SOLIAN 100 mg, comprimé sécable, AMISULPRIDE : 100 mg pour un comprimé, comprimé sécable, plaquette de 30 comprimés;3400934874741
SOLIAN 100 mg, comprimé sécable, AMISULPRIDE : 100 mg pour un comprimé, comprimé sécable, plaquette de 150 comprimés;3400956131211
SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé, SPIRONOLACTONE : 75,00 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés;3400934968174
SPIRONOLACTONE VIATRIS 75 mg, comprimé pelliculé, SPIRONOLACTONE : 75,00 mg pour un comprimé, comprimé pelliculé, plaquette de 90 comprimés;3400937383387
