code à 7 chiffres;libellé;url
1110529;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,PIKDARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1110529&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1111724;ACCESSOIRES, PATE PROTECTION PERISTOMIALE, TUBE OU BARRETTES 60G,HOLLISTER;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1111724&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1111782;APPAREIL DE REEDUCATION PAR POULIE-THERAPIE, LOCATION HEBDOMADAIRE D'UN ENSEMBLE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1111782&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1111902;GENERATEUR DE CHAMP ELECTRIQUE ANTIMITOTIQUE,FORFAIT MENSUEL,NOVOCURE,OPTUNE GIO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1111902&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1112250;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,SIGVARIS;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1112250&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1112669;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,COOP PHARMA FR;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1112669&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1113210;BOUTON DE GASTROSTOMIE, PROLONGATEUR ADAPTABLE, RENOUVELLEMENT,BOSTON SCI;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1113210&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1113249;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, ACHAT,PERFORM HEALTH;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1113249&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1113901;ACCESSOIRES, PATE PROTECTION PERISTOMIALE, TUBE OU BARRETTES 60G,B.BRAUN MEDICAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1113901&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1114266;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ORTHO EUROPE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1114266&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
