date;formation;ville;places
11/05/2026;Soins de support en cancérologie;Agence LANDIVISIAU - Landivisiau (29);18
12/05/2026;Communication au comptoir, la gestion des tensions et des conflits;Agence Angoulême - ANGOULEME (SOYAUX) (16);20
19/05/2026;Formation Focus : Médicaments récents en pharmacie;Classe virtuelle;23
19/05/2026;Vaccination en officine (Geste vaccinal);Agence Aizenay - AIZENAY (85);15
21/05/2026;Compression veineuse et bas de contention;Agence LANDIVISIAU - Landivisiau (29);25
22/05/2026;Compression veineuse et bas de contention;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);25
28/05/2026;Gestes et soins d’urgences en pharmacie, format 2 jours;Agence St Symphorien Niort - St Symphorien (79);17
28/05/2026;Communication au comptoir, améliorer sa posture commerciale;Agence Angers - ANGERS (TRELAZE) (49);20
28/05/2026;Perfectionnement en négociation laboratoires et fournisseurs Classe virtuelle;Classe virtuelle;22
29/05/2026;Perfusion, incontinence, stomies. Savoir facturer les forfaits Perfadom;Agence Rennes - RENNES (SAINT-GREGOIRE) (35);25
29/05/2026;Communication au comptoir, améliorer sa posture commerciale;Agence La Ferté-Bernard - LA FERTE BERNARD (72);14
29/05/2026;Compression veineuse et bas de contention;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);23
01/06/2026;Réussir ses entretiens patients à l’officine;Agence LANDIVISIAU - Landivisiau (29);21
01/06/2026;Gestes et soins d’urgences en pharmacie, format 2 jours;Agence La Ferté-Bernard - LA FERTE BERNARD (72);17
01/06/2026;Réussir ses entretiens patients à l’officine;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);21
01/06/2026;Orthopédie, petit appareillage  Format spécial 2 jours;Agence St Symphorien Niort - St Symphorien (79);22
02/06/2026;Maintien à domicile, mieux accompagner mon patient dans sa perte d'autonomie;Agence LANDIVISIAU - Landivisiau (29);14
02/06/2026;Santé au quotidien, comment l’environnement nous impacte Classe virtuelle;Classe virtuelle;25
02/06/2026;EPP Gestion et amélioration de la Prescription des vaccins;Classe virtuelle;13
03/06/2026;Futur et jeune installé bloc Management;Le Château des Pères - Piré-Chancé (35) -;6
04/06/2026;Maintien à domicile, mieux accompagner mon patient dans sa perte d'autonomie;Agence Saint-Brieuc - ST BRIEUC (22);20
04/06/2026;Aromathérapie, développer une spécialisation au comptoir;Agence Rennes - RENNES (SAINT-GREGOIRE) (35);19
04/06/2026;Infertilité, désir de grossesse, femme enceinte à l’officine;Agence Saintes - SAINTES (17);17
04/06/2026;Futur et jeune installé bloc Gestion et finance;Le Château des Pères - Piré-Chancé (35) -;7
04/06/2026;EPP Gestion et amélioration de la délivrance des antibiotiques par suite d’un TROD cystite;Classe virtuelle;14
05/06/2026;Compression veineuse et bas de contention;Agence Aizenay - AIZENAY (85);25
05/06/2026;Aromathérapie, développer une spécialisation au comptoir;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);18
05/06/2026;Futur et jeune installé bloc Achat et valorisation point de vente;Le Château des Pères - Piré-Chancé (35) -;7
08/06/2026;Perfusion, incontinence, stomies. Savoir facturer les forfaits Perfadom;Agence Aizenay - AIZENAY (85);16
08/06/2026;Gestes et soins d’urgences en pharmacie, format 2 jours;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);8
08/06/2026;TROD angine, Cystite, délivrance des antibiotiques en pharmacie, nouvelle mission Classe virtuelle;Classe virtuelle;34
09/06/2026;Maintien à domicile, mieux accompagner mon patient dans sa perte d'autonomie;Agence Aizenay - AIZENAY (85);18
09/06/2026;Alimentation et accompagnement du sportif à l'officine;Hôtel Le circuit Au Mans - LE MANS (72);17
11/06/2026;Maintien à domicile, mieux accompagner mon patient dans sa perte d'autonomie;Agence Rennes - RENNES (SAINT-GREGOIRE) (35);18
11/06/2026;Nutrition de la naissance à 3 ans, les bases;Agence LANDIVISIAU - Landivisiau (29);19
11/06/2026;Perfectionnement en négociation laboratoires et fournisseurs;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);18
11/06/2026;Intégrer dans son conseil la Micronutrition;Agence Angoulême - ANGOULEME (SOYAUX) (16);19
11/06/2026;Maintien à domicile perfectionnement;Agence St Symphorien Niort - St Symphorien (79);24
11/06/2026;Aromathérapie, perfectionnement Classe Virtuelle;Classe virtuelle;15
12/06/2026;Nutrition du jeune enfant, expertise allaitement;Agence Saint-Brieuc - ST BRIEUC (22);24
12/06/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Agence Angers - ANGERS (TRELAZE) (49);16
12/06/2026;Les conseils essentiels dans la prise de médicaments, la Chronobiothérapie;Agence Aizenay - AIZENAY (85);22
12/06/2026;Vaccination en officine (Geste vaccinal);Agence Rennes - RENNES (SAINT-GREGOIRE) (35);17
15/06/2026;Vaccination en officine (Geste vaccinal);Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);18
16/06/2026;Vétérinaire à l'officine Classe virtuelle;Classe virtuelle;22
18/06/2026;Réussir ses entretiens patients à l’officine;Agence Angers - ANGERS (TRELAZE) (49);22
18/06/2026;Soins de support en cancérologie;Agence Saintes - SAINTES (17);17
18/06/2026;Communication au comptoir, améliorer sa posture commerciale;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);15
19/06/2026;Anticancéreux par voie orale: prise en charge à l'officine;Agence Angoulême - ANGOULEME (SOYAUX) (16);19
19/06/2026;Réussir ses entretiens patients à l’officine;Hôtel Le circuit Au Mans - LE MANS (72);24
19/06/2026;EPP Gestion et amélioration des erreurs de délivrance;Classe virtuelle;13
22/06/2026;Alimentation et accompagnement du sportif à l'officine;Agence Angers - ANGERS (TRELAZE) (49);18
22/06/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);15
22/06/2026;Vaccination en officine (Geste vaccinal);Agence Angoulême - ANGOULEME (SOYAUX) (16);14
23/06/2026;Management, piloter la compétence et la motivation des salariés;Agence LANDIVISIAU - Landivisiau (29);24
23/06/2026;Réussir ses entretiens patients à l’officine;Agence Aizenay - AIZENAY (85);24
23/06/2026;Plaies et pansements;Hôtel Le circuit Au Mans - LE MANS (72);14
23/06/2026;Communication au comptoir, améliorer sa posture commerciale Classe virtuelle;Classe virtuelle;25
23/06/2026;Prescription des vaccins en pharmacie Classe Virtuelle;Classe virtuelle;21
25/06/2026;Management, piloter la compétence et la motivation des salariés;Agence Aizenay - AIZENAY (85);24
25/06/2026;Dermatologie à l’officine, Expertise;Hôtel Le circuit Au Mans - LE MANS (72);18
25/06/2026;Nutrition de la naissance à 3 ans, les bases;Agence Angoulême - ANGOULEME (SOYAUX) (16);17
25/06/2026;Santé au quotidien, comment l’environnement nous impacte;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);20
25/06/2026;Formation Focus : Médicaments récents en pharmacie;Classe virtuelle;22
26/06/2026;Perfusion, incontinence, stomies. Savoir facturer les forfaits Perfadom;Agence Saint-Brieuc - ST BRIEUC (22);25
26/06/2026;Nutrition de la naissance à 3 ans, les bases;Agence Angers - ANGERS (TRELAZE) (49);17
26/06/2026;Dermatologie à l’officine, Expertise;Hôtel Restaurant KYRIAD - Chartres (28);25
